keys size 105505
values size 105505
counts size 105505
Initial Setup: 2425 ms
starting
70. |im [69 6d ] | 358448 | 33 ms | 47 ms | shortlist: 31209
71. |ĠGovernment [c4 a0 47 6f 76 65 72 6e 6d 65 6e 74 ] | 349962 | 40 ms | 41 ms | shortlist: 162
72. |Ġworld [c4 a0 77 6f 72 6c 64 ] | 348903 | 28 ms | 28 ms | shortlist: 218
73. |ent [65 6e 74 ] | 347950 | 25 ms | 38 ms | shortlist: 27981
74. |si [73 69 ] | 346267 | 39 ms | 51 ms | shortlist: 26441
75. |om [6f 6d ] | 341222 | 41 ms | 55 ms | shortlist: 29985
76. |ol [6f 6c ] | 340056 | 42 ms | 57 ms | shortlist: 35446
77. |ĠStates [c4 a0 53 74 61 74 65 73 ] | 335188 | 46 ms | 47 ms | shortlist: 347
78. |Ġits [c4 a0 69 74 73 ] | 331226 | 30 ms | 30 ms | shortlist: 304
79. |Ġhave [c4 a0 68 61 76 65 ] | 330980 | 30 ms | 30 ms | shortlist: 159
80. |ight [69 67 68 74 ] | 324000 | 26 ms | 29 ms | shortlist: 5370
81. |ity [69 74 79 ] | 322398 | 31 ms | 40 ms | shortlist: 28489
82. |Ġon [c4 a0 6f 6e ] | 321135 | 41 ms | 42 ms | shortlist: 1164
83. |un [75 6e ] | 319976 | 31 ms | 57 ms | shortlist: 63807
84. |ur [75 72 ] | 316230 | 56 ms | 68 ms | shortlist: 29640
85. |ĠOrganization [c4 a0 4f 72 67 61 6e 69 7a 61 74 69 6f 6e ] | 298536 | 41 ms | 42 ms | shortlist: 234
86. |Ġwe [c4 a0 77 65 ] | 293443 | 31 ms | 32 ms | shortlist: 1944
87. |ul [75 6c ] | 290946 | 31 ms | 46 ms | shortlist: 33751
88. |ĠI [c4 a0 49 ] | 290833 | 41 ms | 49 ms | shortlist: 24659
89. |Ġall [c4 a0 61 6c 6c ] | 290474 | 42 ms | 43 ms | shortlist: 919
90. |Ġg [c4 a0 67 ] | 289866 | 31 ms | 37 ms | shortlist: 16163
91. |Ġl [c4 a0 6c ] | 288457 | 38 ms | 43 ms | shortlist: 13218
92. |ra [72 61 ] | 286558 | 38 ms | 55 ms | shortlist: 38803
93. |se [73 65 ] | 285156 | 47 ms | 54 ms | shortlist: 16930
94. |ir [69 72 ] | 279768 | 38 ms | 46 ms | shortlist: 19516
95. |Ġshould [c4 a0 73 68 6f 75 6c 64 ] | 275984 | 37 ms | 38 ms | shortlist: 225
96. |ies [69 65 73 ] | 273509 | 26 ms | 37 ms | shortlist: 32292
97. |Ġpro [c4 a0 70 72 6f ] | 272251 | 43 ms | 47 ms | shortlist: 10334
98. |ĠAfric [c4 a0 41 66 72 69 63 ] | 261016 | 34 ms | 35 ms | shortlist: 496
99. |Ġnot [c4 a0 6e 6f 74 ] | 260834 | 29 ms | 30 ms | shortlist: 779
100. |Ġwill [c4 a0 77 69 6c 6c ] | 259180 | 29 ms | 29 ms | shortlist: 204
101. |port [70 6f 72 74 ] | 259046 | 26 ms | 28 ms | shortlist: 3348
102. |de [64 65 ] | 255156 | 30 ms | 40 ms | shortlist: 26372
103. |Ġeconomic [c4 a0 65 63 6f 6e 6f 6d 69 63 ] | 245720 | 39 ms | 39 ms | shortlist: 251
104. |ver [76 65 72 ] | 239923 | 28 ms | 37 ms | shortlist: 20521
105. |ĠS [c4 a0 53 ] | 238184 | 40 ms | 53 ms | shortlist: 42457
106. |res [72 65 73 ] | 234929 | 49 ms | 58 ms | shortlist: 19674
107. |Ġas [c4 a0 61 73 ] | 232510 | 38 ms | 40 ms | shortlist: 3345
108. |ter [74 65 72 ] | 227717 | 32 ms | 44 ms | shortlist: 27604
109. |ĠC [c4 a0 43 ] | 224844 | 38 ms | 50 ms | shortlist: 38745
110. |ĠRepublic [c4 a0 52 65 70 75 62 6c 69 63 ] | 222278 | 47 ms | 49 ms | shortlist: 181
111. |Ġpeople [c4 a0 70 65 6f 70 6c 65 ] | 221397 | 28 ms | 28 ms | shortlist: 107
112. |ate [61 74 65 ] | 217345 | 24 ms | 33 ms | shortlist: 24035
113. |ow [6f 77 ] | 215884 | 38 ms | 42 ms | shortlist: 10064
114. |Ġefforts [c4 a0 65 66 66 6f 72 74 73 ] | 215635 | 33 ms | 33 ms | shortlist: 32
115. |ac [61 63 ] | 215577 | 26 ms | 39 ms | shortlist: 30837
116. |Ġst [c4 a0 73 74 ] | 214953 | 41 ms | 46 ms | shortlist: 11682
117. |uc [75 63 ] | 209714 | 34 ms | 40 ms | shortlist: 13200
118. |ĠWe [c4 a0 57 65 ] | 209476 | 35 ms | 36 ms | shortlist: 1013
119. |ble [62 6c 65 ] | 208511 | 30 ms | 40 ms | shortlist: 27867
120. |General [47 65 6e 65 72 61 6c ] | 199551 | 40 ms | 41 ms | shortlist: 1139
121. |Ġare [c4 a0 61 72 65 ] | 199497 | 30 ms | 30 ms | shortlist: 277
122. |Ġde [c4 a0 64 65 ] | 199412 | 28 ms | 34 ms | shortlist: 16406
123. |ĠA [c4 a0 41 ] | 195065 | 35 ms | 46 ms | shortlist: 34914
