keys size 881233
values size 881233
counts size 881233
Initial Setup: 24952 ms
starting
76. |hi [68 69 ] | 6217688 | 422 ms | 573 ms | shortlist: 312339
77. |im [69 6d ] | 6135165 | 432 ms | 592 ms | shortlist: 311027
78. |ea [65 61 ] | 5751725 | 449 ms | 607 ms | shortlist: 309862
79. |ou [6f 75 ] | 5745885 | 437 ms | 592 ms | shortlist: 306844
80. |ly [6c 79 ] | 5452069 | 427 ms | 629 ms | shortlist: 419905
81. |nc [6e 63 ] | 5449525 | 464 ms | 652 ms | shortlist: 342534
82. |ll [6c 6c ] | 5258749 | 438 ms | 684 ms | shortlist: 459287
83. |Ġl [c4 a0 6c ] | 5200190 | 463 ms | 524 ms | shortlist: 92317
84. |ge [67 65 ] | 5134949 | 450 ms | 646 ms | shortlist: 339348
85. |em [65 6d ] | 5093859 | 454 ms | 614 ms | shortlist: 327265
86. |na [6e 61 ] | 5073269 | 441 ms | 710 ms | shortlist: 494884
87. |Ġn [c4 a0 6e ] | 5071724 | 441 ms | 558 ms | shortlist: 236952
88. |ĠWe [c4 a0 57 65 ] | 5037738 | 412 ms | 436 ms | shortlist: 32111
89. |ss [73 73 ] | 5036419 | 386 ms | 568 ms | shortlist: 377366
90. |ie [69 65 ] | 5034098 | 430 ms | 595 ms | shortlist: 382960
91. |mo [6d 6f ] | 4889468 | 425 ms | 586 ms | shortlist: 308004
92. |ul [75 6c ] | 4854921 | 432 ms | 609 ms | shortlist: 346261
93. |lo [6c 6f ] | 4818144 | 433 ms | 644 ms | shortlist: 395291
94. |su [73 75 ] | 4806312 | 433 ms | 595 ms | shortlist: 285452
95. |po [70 6f ] | 4727731 | 443 ms | 605 ms | shortlist: 296190
96. |pa [70 61 ] | 4718603 | 433 ms | 570 ms | shortlist: 252984
97. |ol [6f 6c ] | 4680861 | 437 ms | 704 ms | shortlist: 473062
98. |be [62 65 ] | 4568164 | 438 ms | 537 ms | shortlist: 187170
99. |mp [6d 70 ] | 4566569 | 429 ms | 552 ms | shortlist: 217325
100. |us [75 73 ] | 4554888 | 432 ms | 583 ms | shortlist: 299923
101. |fi [66 69 ] | 4532558 | 434 ms | 545 ms | shortlist: 193916
102. |od [6f 64 ] | 4510930 | 424 ms | 555 ms | shortlist: 250061
103. |mi [6d 69 ] | 4428302 | 495 ms | 833 ms | shortlist: 442587
104. |ts [74 73 ] | 4370372 | 477 ms | 602 ms | shortlist: 276160
105. |ni [6e 69 ] | 4358114 | 435 ms | 705 ms | shortlist: 509554
106. |we [77 65 ] | 4335607 | 462 ms | 513 ms | shortlist: 83190
107. |he [68 65 ] | 4260854 | 402 ms | 656 ms | shortlist: 506311
108. |tu [74 75 ] | 4243735 | 429 ms | 523 ms | shortlist: 178308
109. |ho [68 6f ] | 4221551 | 422 ms | 582 ms | shortlist: 312791
110. |pl [70 6c ] | 4142406 | 427 ms | 541 ms | shortlist: 196877
111. |un [75 6e ] | 4104252 | 412 ms | 586 ms | shortlist: 341905
112. |Ġg [c4 a0 67 ] | 4048413 | 424 ms | 482 ms | shortlist: 103705
113. |iv [69 76 ] | 4035649 | 412 ms | 560 ms | shortlist: 268213
114. |Ġh [c4 a0 68 ] | 4024039 | 420 ms | 509 ms | shortlist: 180537
115. |ia [69 61 ] | 3987310 | 417 ms | 632 ms | shortlist: 418270
116. |ex [65 78 ] | 3952705 | 423 ms | 517 ms | shortlist: 173773
117. |no [6e 6f ] | 3939006 | 419 ms | 673 ms | shortlist: 477824
118. |ut [75 74 ] | 3914922 | 444 ms | 573 ms | shortlist: 242766
119. |wi [77 69 ] | 3893041 | 425 ms | 481 ms | shortlist: 102850
120. |os [6f 73 ] | 3864634 | 409 ms | 621 ms | shortlist: 398623
121. |op [6f 70 ] | 3816187 | 442 ms | 613 ms | shortlist: 334315
122. |so [73 6f ] | 3783866 | 434 ms | 564 ms | shortlist: 248840
123. |rs [72 73 ] | 3762629 | 421 ms | 604 ms | shortlist: 364616
124. |io [69 6f ] | 3762493 | 438 ms | 965 ms | shortlist: 943865
125. |ow [6f 77 ] | 3723354 | 483 ms | 572 ms | shortlist: 131675
126. |ot [6f 74 ] | 3627464 | 430 ms | 601 ms | shortlist: 320414
127. |rm [72 6d ] | 3603260 | 424 ms | 550 ms | shortlist: 226715
128. |rt [72 74 ] | 3555377 | 465 ms | 628 ms | shortlist: 252351
129. |am [61 6d ] | 3526731 | 434 ms | 607 ms | shortlist: 324856
130. |il [69 6c ] | 3470575 | 428 ms | 652 ms | shortlist: 404987
131. |ap [61 70 ] | 3380897 | 452 ms | 597 ms | shortlist: 259546
132. |Ġu [c4 a0 75 ] | 3331607 | 443 ms | 534 ms | shortlist: 165590
133. |qua [71 75 61 ] | 3331574 | 414 ms | 473 ms | shortlist: 93720
134. |ty [74 79 ] | 3309129 | 402 ms | 580 ms | shortlist: 366895
135. |sp [73 70 ] | 3297235 | 423 ms | 532 ms | shortlist: 197683
136. |ig [69 67 ] | 3268610 | 417 ms | 533 ms | shortlist: 219957
137. |uc [75 63 ] | 3228350 | 413 ms | 497 ms | shortlist: 149729
138. |vi [76 69 ] | 3214724 | 419 ms | 543 ms | shortlist: 241221
139. |Ġ$ [c4 a0 24 ] | 3163467 | 421 ms | 439 ms | shortlist: 10208
140. |id [69 64 ] | 2930125 | 367 ms | 508 ms | shortlist: 289950
141. |ci [63 69 ] | 2914206 | 418 ms | 547 ms | shortlist: 280738
142. |bl [62 6c ] | 2895442 | 444 ms | 554 ms | shortlist: 222397
143. |ai [61 69 ] | 2875095 | 412 ms | 498 ms | shortlist: 192567
144. |ev [65 76 ] | 2861015 | 419 ms | 482 ms | shortlist: 129326
145. |va [76 61 ] | 2856543 | 407 ms | 490 ms | shortlist: 171881
146. |lu [6c 75 ] | 2791950 | 413 ms | 501 ms | shortlist: 184709
147. |ab [61 62 ] | 2748553 | 417 ms | 576 ms | shortlist: 309721
148. |if [69 66 ] | 2746836 | 423 ms | 524 ms | shortlist: 191623
149. |um [75 6d ] | 2727839 | 416 ms | 504 ms | shortlist: 189573
150. |ffe [66 66 65 ] | 2713390 | 419 ms | 447 ms | shortlist: 40792
151. |sc [73 63 ] | 2662994 | 394 ms | 510 ms | shortlist: 238009
152. |ee [65 65 ] | 2553934 | 416 ms | 489 ms | shortlist: 169297
153. |Ġv [c4 a0 76 ] | 2527172 | 409 ms | 441 ms | shortlist: 60356
154. |ir [69 72 ] | 2483959 | 390 ms | 480 ms | shortlist: 188221
155. |Ġ( [c4 a0 28 ] | 2469747 | 410 ms | 419 ms | shortlist: 3835
156. |ĠIn [c4 a0 49 6e ] | 2464386 | 369 ms | 398 ms | shortlist: 69825
157. |ob [6f 62 ] | 2440044 | 406 ms | 469 ms | shortlist: 142321
158. |cl [63 6c ] | 2433370 | 408 ms | 468 ms | shortlist: 128900
159. |wh [77 68 ] | 2391694 | 398 ms | 410 ms | shortlist: 22884
160. |gr [67 72 ] | 2379999 | 388 ms | 478 ms | shortlist: 173336
161. |cu [63 75 ] | 2370867 | 401 ms | 465 ms | shortlist: 136003
162. |two [74 77 6f ] | 2337524 | 418 ms | 432 ms | shortlist: 24344
163. |co [63 6f ] | 2337274 | 388 ms | 692 ms | shortlist: 554257
164. |ov [6f 76 ] | 2328106 | 435 ms | 529 ms | shortlist: 203113
165. |ad [61 64 ] | 2317411 | 413 ms | 524 ms | shortlist: 233563
166. |fr [66 72 ] | 2305230 | 426 ms | 461 ms | shortlist: 70681
167. |sh [73 68 ] | 2297197 | 399 ms | 483 ms | shortlist: 178218
168. |ry [72 79 ] | 2288197 | 396 ms | 470 ms | shortlist: 181369
169. |equ [65 71 75 ] | 2265902 | 410 ms | 441 ms | shortlist: 55739
170. |lt [6c 74 ] | 2248341 | 394 ms | 497 ms | shortlist: 216450
171. |ag [61 67 ] | 2239978 | 417 ms | 521 ms | shortlist: 221165
172. |da [64 61 ] | 2235356 | 413 ms | 497 ms | shortlist: 187104
173. |du [64 75 ] | 2189377 | 427 ms | 480 ms | shortlist: 109628
174. |ph [70 68 ] | 2163763 | 404 ms | 557 ms | shortlist: 299560
175. |oc [6f 63 ] | 2078994 | 424 ms | 552 ms | shortlist: 260271
176. |bi [62 69 ] | 2053927 | 430 ms | 579 ms | shortlist: 288594
177. |ls [6c 73 ] | 2053699 | 436 ms | 496 ms | shortlist: 136539
178. |ep [65 70 ] | 2024150 | 393 ms | 499 ms | shortlist: 216171
179. |av [61 76 ] | 2022752 | 447 ms | 506 ms | shortlist: 123804
180. |ys [79 73 ] | 1975251 | 416 ms | 472 ms | shortlist: 120805
181. |ba [62 61 ] | 1964879 | 410 ms | 491 ms | shortlist: 172353
182. |by [62 79 ] | 1956785 | 408 ms | 422 ms | shortlist: 17396
183. |rg [72 67 ] | 1950167 | 389 ms | 446 ms | shortlist: 121808
184. |pp [70 70 ] | 1945713 | 395 ms | 437 ms | shortlist: 95273
185. |gi [67 69 ] | 1906383 | 403 ms | 474 ms | shortlist: 150112
186. |ue [75 65 ] | 1892718 | 401 ms | 454 ms | shortlist: 123802
187. |ef [65 66 ] | 1876437 | 411 ms | 463 ms | shortlist: 102602
188. |ize [69 7a 65 ] | 1853394 | 399 ms | 446 ms | shortlist: 95343
189. |gh [67 68 ] | 1848762 | 397 ms | 438 ms | shortlist: 93736
190. |ga [67 61 ] | 1835674 | 405 ms | 476 ms | shortlist: 153768
191. |cr [63 72 ] | 1834449 | 412 ms | 509 ms | shortlist: 190470
192. |up [75 70 ] | 1805882 | 404 ms | 498 ms | shortlist: 180773
193. |ib [69 62 ] | 1764076 | 406 ms | 481 ms | shortlist: 146943
194. |mu [6d 75 ] | 1710859 | 415 ms | 494 ms | shortlist: 159874
195. |bo [62 6f ] | 1692262 | 409 ms | 475 ms | shortlist: 136307
196. |sy [73 79 ] | 1634061 | 412 ms | 463 ms | shortlist: 95761
197. |ld [6c 64 ] | 1628403 | 402 ms | 450 ms | shortlist: 105998
198. |rr [72 72 ] | 1624510 | 414 ms | 484 ms | shortlist: 136337
199. |eg [65 67 ] | 1618238 | 406 ms | 475 ms | shortlist: 148712
200. |pt [70 74 ] | 1580611 | 408 ms | 476 ms | shortlist: 142077
201. |Ġqu [c4 a0 71 75 ] | 1551220 | 409 ms | 443 ms | shortlist: 67466
202. |work [77 6f 72 6b ] | 1517296 | 390 ms | 404 ms | shortlist: 25836
203. |ĠA [c4 a0 41 ] | 1516687 | 397 ms | 515 ms | shortlist: 260097
204. |ĠS [c4 a0 53 ] | 1488717 | 404 ms | 610 ms | shortlist: 458240
205. |ud [75 64 ] | 1478587 | 414 ms | 472 ms | shortlist: 114439
206. |ds [64 73 ] | 1476110 | 418 ms | 463 ms | shortlist: 109780
207. |tt [74 74 ] | 1475850 | 408 ms | 481 ms | shortlist: 156312
208. |ĠTh [c4 a0 54 68 ] | 1475314 | 404 ms | 424 ms | shortlist: 39031
209. |gn [67 6e ] | 1473251 | 385 ms | 446 ms | shortlist: 123885
210. |rd [72 64 ] | 1467205 | 404 ms | 467 ms | shortlist: 137144
211. |fu [66 75 ] | 1458823 | 408 ms | 443 ms | shortlist: 68286
212. |bu [62 75 ] | 1454167 | 392 ms | 431 ms | shortlist: 85708
213. |ru [72 75 ] | 1452881 | 395 ms | 459 ms | shortlist: 135351
214. |pi [70 69 ] | 1432241 | 398 ms | 473 ms | shortlist: 156828
215. |eo [65 6f ] | 1424333 | 403 ms | 470 ms | shortlist: 146779
216. |xp [78 70 ] | 1421492 | 403 ms | 431 ms | shortlist: 49532
217. |iza [69 7a 61 ] | 1410056 | 391 ms | 454 ms | shortlist: 138675
218. |og [6f 67 ] | 1404930 | 395 ms | 514 ms | shortlist: 232774
219. |ay [61 79 ] | 1391515 | 397 ms | 437 ms | shortlist: 88666
220. |ms [6d 73 ] | 1391418 | 391 ms | 427 ms | shortlist: 89396
221. |do [64 6f ] | 1324305 | 404 ms | 486 ms | shortlist: 180186
222. |wa [77 61 ] | 1293677 | 411 ms | 456 ms | shortlist: 99369
223. |ei [65 69 ] | 1273093 | 387 ms | 471 ms | shortlist: 190104
224. |sa [73 61 ] | 1261360 | 396 ms | 491 ms | shortlist: 224380
225. |xi [78 69 ] | 1255093 | 396 ms | 436 ms | shortlist: 76894
226. |rv [72 76 ] | 1245806 | 389 ms | 420 ms | shortlist: 62777
227. |rc [72 63 ] | 1243842 | 393 ms | 468 ms | shortlist: 154963
228. |nu [6e 75 ] | 1232555 | 395 ms | 432 ms | shortlist: 78961
229. |ĠC [c4 a0 43 ] | 1215514 | 389 ms | 542 ms | shortlist: 333254
230. |ĠM [c4 a0 4d ] | 1186575 | 394 ms | 534 ms | shortlist: 332150
231. |nv [6e 76 ] | 1184281 | 402 ms | 446 ms | shortlist: 73815
232. |lgorithm [6c 67 6f 72 69 74 68 6d ] | 1176264 | 388 ms | 396 ms | shortlist: 8425
233. |fa [66 61 ] | 1164191 | 370 ms | 405 ms | shortlist: 77155
234. |pu [70 75 ] | 1163111 | 399 ms | 428 ms | shortlist: 67673
235. |dy [64 79 ] | 1152330 | 382 ms | 410 ms | shortlist: 63385
236. |fe [66 65 ] | 1147715 | 378 ms | 449 ms | shortlist: 154651
237. |mb [6d 62 ] | 1126129 | 396 ms | 433 ms | shortlist: 77967
238. |nf [6e 66 ] | 1119311 | 399 ms | 446 ms | shortlist: 98117
239. |ĠH [c4 a0 48 ] | 1105249 | 391 ms | 469 ms | shortlist: 179107
240. |mm [6d 6d ] | 1089393 | 396 ms | 452 ms | shortlist: 111241
241. |ui [75 69 ] | 1089041 | 401 ms | 456 ms | shortlist: 120203
242. |ke [6b 65 ] | 1080129 | 395 ms | 463 ms | shortlist: 153250
243. |$\ [24 5c ] | 1076181 | 392 ms | 402 ms | shortlist: 6727
244. |bs [62 73 ] | 1068613 | 355 ms | 381 ms | shortlist: 53455
245. |rn [72 6e ] | 1057119 | 381 ms | 427 ms | shortlist: 106855
246. |ew [65 77 ] | 1054890 | 386 ms | 414 ms | shortlist: 65065
247. |ĠF [c4 a0 46 ] | 1041933 | 388 ms | 458 ms | shortlist: 160008
248. |oi [6f 69 ] | 1023385 | 391 ms | 448 ms | shortlist: 135391
249. |rf [72 66 ] | 1013083 | 404 ms | 435 ms | shortlist: 64937
250. |ua [75 61 ] | 1007316 | 385 ms | 473 ms | shortlist: 187926
251. |br [62 72 ] | 1002400 | 399 ms | 449 ms | shortlist: 107887
252. |sm [73 6d ] | 1000296 | 390 ms | 443 ms | shortlist: 120741
253. |ck [63 6b ] | 980234 | 389 ms | 455 ms | shortlist: 147153
254. |ip [69 70 ] | 971345 | 404 ms | 478 ms | shortlist: 153656
255. |xt [78 74 ] | 957330 | 391 ms | 419 ms | shortlist: 56696
256. |oo [6f 6f ] | 945389 | 388 ms | 443 ms | shortlist: 124906
257. |fl [66 6c ] | 944153 | 390 ms | 431 ms | shortlist: 85876
258. |ub [75 62 ] | 910831 | 395 ms | 465 ms | shortlist: 144355
259. |ĠB [c4 a0 42 ] | 903731 | 403 ms | 504 ms | shortlist: 232182
260. |cc [63 63 ] | 873858 | 400 ms | 434 ms | shortlist: 64559
261. |au [61 75 ] | 871513 | 393 ms | 453 ms | shortlist: 133922
262. |ff [66 66 ] | 853381 | 408 ms | 458 ms | shortlist: 108831
263. |nn [6e 6e ] | 837945 | 390 ms | 446 ms | shortlist: 126650
264. |gl [67 6c ] | 832280 | 390 ms | 430 ms | shortlist: 89609
265. |gu [67 75 ] | 819604 | 385 ms | 427 ms | shortlist: 83654
266. |ĠL [c4 a0 4c ] | 818009 | 393 ms | 466 ms | shortlist: 159914
267. |tl [74 6c ] | 811228 | 406 ms | 437 ms | shortlist: 68786
268. |Ġ1 [c4 a0 31 ] | 797247 | 386 ms | 418 ms | shortlist: 44474
269. |ĠG [c4 a0 47 ] | 788764 | 363 ms | 451 ms | shortlist: 188325
270. |ug [75 67 ] | 782801 | 397 ms | 423 ms | shortlist: 52823
